title,audio,lyrics
ÁZMOT,,"ŽE MILIÓNY ĽUDÍ UMIERA
ZATO MÔŽE TÁ ICH VIERA
CHLAPCI UŽ AKO 7 ROČNÝ
ZAČÍNAJÚ BYŤ PRÍLIŠ NEBEZPEČNÝ
ATENTÁT ZA ATENTÁTOM
SMRŤ SA TI TU STÁVA DRUHÝM BRATOM
RÝCHLO STÚPAJÚCI ADRENALÍN
A TY TERAZ NEVIEŠ ČO SNÍM UROBÍŠ
TY LEN ČAKÁŠ BEZMOCNE
A DÚFAŠ ŽE TO SKONČÍ SENZAČNE
NIE , NIE TY TAM OSTANEŠ
A NA VŠETKO ZLÉ UŽ ZABUDNEŠ
OBETÍ BUDE VIAC NEŽ DOSŤ
""ZA ALAHA PRE RADOSŤ""
INÝ PRIESTOR SA TI OTVORÍ
ČASOM ŤA VŠETKO PREBOLÍ"
AKO MY,,"NIČ NIE JE PODĽA PREDSTÁV
VEĽA VECÍ, VECÍ NEVYCHÁDZA
AJ TÁ POSLEDNÁ VEC VÍDE ÚPLNE NA ZMAR
TAK ČO STÝM!
ČOSKORO PRÍDE ZMENA
A TY V ODRAZE ZRKADLA UVIDÍŠ SÁM SEBA
SAMÉHO SEBA
MÁŠ ODVAHU POZRIEŤ SA DO OČÍ
A POVEDAŤ TAKTO PREDSA MI TO STAČÍ
AJ KEĎ VIEŠ ŽE NESTAČÍ
NESTAČÍ
UKÁŽ ŽE MÁŠ NA VIAC
TU SA UŽ NEMUSÍŠ NIČOHO BÁŤ
TAK ZOBER ŽIVOT DO VLASTNÝCH RÚK
VEĎ ZA TO NIČ NEDÁŠ TAK TO ASPOŇ SKÚS
AKO MY!"
HAĽO HAĽOVÍN,,"HAĽÓ HAĽOVÍN
MÔJ DEDKO KRIČÍ EŠTE SPÍM
TAK HO RADŠEJ NEBUĎTE
LEBO VÁS POKÚŠA JEHO ČEĽUSTE
AK HO RAZ ZOBUDÍŠ
ÚTOKU SA NEUBRÁNIŠ
KUSNE ŤA DO KRKU
A NECHÁ TI TAM SPOMIENKU
DEDO, DEDO NÁŠ
ČO V TEJ TRUHLE SCHOVÁVAŠ
NA MOL
Z RÁNA KRÁČAM
ŠPINAVOU ULICOU
PRÁZDNA SA MI NEJAK ZDÁ
STOJÍ TU LEN NEJAKÁ DEFKA
ČO TI AJ ZA HORALKU
DÁ
VŠETCI SA TU VYTRATILI
NIKOHO SOM NESTRETOL
KDE SA VŠETCI PODELI
PREČO STE MA TU NECHALI"
"SUSED, SUSED",,"SUSED (JOŽTIAK) SA NÁM CHODÍ SŤAŽOVAŤ
ŽE MU STRIEĽAME DO CHATY
NO ON NÁM CHODÍ RABOVAŤ
MRKVIČKU Z NAŠEJ ZÁHRADKY
AKO JE OD NETU ODPOJENÝ
VODÍ SI SEM, RÓMSKE ŽENY
ŽEVRAJ MU STRIEĽAME DO STENY
TO SME ALE RIADNE HYENY
SUSED, SUSED
Z NAŠEJ CHATY
SUSED, SUSED
JE OŽRATÝ
SUSED, SUSED
JE NAHATÝ
SUSED, SUSED
JE PRIHRIATY"
CZECHOSLOVAKIA,,"KONČÍ SA ROK ´89
RÚCA SA VŠETKO OD ZÁKLADOV
REVOLÚCIA O SEBE DÁVA VEDIEŤ
POLITICKÁ MOC JE V KONCOCH
VŠETKO SA POMALÝ KONČÍ
A ANI PORIADNE NENAZDÁŠ
KONEČNE PRÍDU LEPŠIE ČASY
A TY SA KONEČNE SPAMÄTÁŠ
KLAMSTVÁ PODVODY  A HLAVNE NADÁVKY
VŠADE KAM SA POHNEŠ TAK VIDÍŠ PRETVÁRKY
STÁLE SA MA PÝTAŠ KEDY BUDE LEPŠIE
A IBA TOMU VERÍŠ ŽE BOLO NAJHORŠIE
BRÁNU MÁME OTVORENÚ
PRE KAŽDÉHO DOKORÁN
VŠETCI SÚ TU VÍTANÝ
TAK SA PRIDAJ KU NÁM
90-TE ROKY A ÚSMEV NA PERÁCH
TERAZ UŽ NIKTO NEMÁ O SVOJ ŽIVOT STRACH
NIKTO SA NESŤAŽUJE NIK NIE JE NEISTÝ
PRÁCE JE DOSTATOK VŠETCI SÚ SPOKOJNÝ
VOĽNÉ CESTOVANIE DO VŠETKÝCH KRAJÍN
NIKTO TI NEVRAVÍ NIE! VŽDY SI TU VÍTANÝ
VŠADE PRIJATIE HNEĎ VO DVERÁCH"
Vyjebané dvere,,"Co ma na nich serie
nizko zarubnu maju
vždy do nich trafim hlavu
Vyjebane dvere
Co ma na nich serie
Ze stale mi vrzgaju
Psychicky ma tyraju
ked mi z nich prdnu nervy
V kŕčme vyplatim sekeru
Zarubem par krat do dverí
Tuto zimu bude teplo veru.
Nikto mi neveri
Ze sa da zit bez dverí
Citim teraz cerstvy vzduch
no z ulice pocut hluk
Vyjebane dvere
co ma na nich serie
To ze ich uz nemám
Celu Vyplatu za nové dámpp že
Mam stoho uz riadne nervy
zapijem to v krcme na sekeru
Nikdy nevies kedy, ver mi!
Sa ti zide sekera veru."
Do bezvedomia,,"Pivo
Pijeme Pivo
Lejeme ho do seba
až do bezvedomia!!
Ruma
Pijeme Rumá
Lejeme ho do seba
až do bezvedomia!!
Slivku
Pijeme Slivku
Lejeme ju do seba
až do bezvedomia!!
Čúčo
pijeme čučo
lejeme ho do seba
až do bezvedomia"
Ona nemá zábrany,,"vzdy, ked sa chystá v piatok von
tak vytiahne svoj telefón
a Obvolá všetkých kámošov
Peri si červenou maľuje
zrkadlu usmev daruje
A vínové Martensi si obuje
ona nema zabrany
spat v noci nikdy neda mi
Pogo v dave tancuje
Odznaky na rifľovku pripnei
V nej vyzerá tak perfektne
A beží rovno do mesta
Keď kapela začne hrať
a ona začne tancovať
svoj pohľad od nej neviem odpútať
ona nema žiadne zabrany
a spat v noci nikdy neda mi
Pogo v dave tancuje"
Moja úzkosť,,"Moja úzkosť, ktorá mi nedá pokoj
moja úzkosť, ktorá nadomou vyhráva
moja úzkosť a ja sňou musím žiť
starý priateľ ktorého sa neviem zbaviť
Neviem prečo, uprostred noci,
Neviem prečo, nenechá ma spať
Neviem prečo, ovláda ma
Neviem prečo, pozná môj strach
Hľadám cestu, ako sa jej zbaviť
Zložité je, s ňou každý deň tráviť
kde sa tu vzala, to neviem no je pri mne
príde vždy, keď sa práve cítim divne divne
Vždy je pritom, keď niekam odchadzam
Všetko Sleduje a pokoj mi nedáva
všade je prvá, vie čo urobím
viem že sa jej už nikdy nezbavím
Neviem prečo,uprostred noci,
Neviem prečo, nenechá ma spať
Neviem prečo, ovláda ma
Neviem prečo, pozná môj strach"
Vstávaj,,"no tak, vstavaj!
spíš zablateny pred stanom
no tak vstavaj!
nemožem s tebou ani pohnúť
no tak vstavaj!
otvárajú stánok s pivom
no tak vstávaj!
treba dopiť ešte fľašu
Vstavaj, Vstávaj
Je nádherný deň
Vstávaj, vstávaj
spolu si ho užijem
óóóó
je nádherný den
óóó
spolu si ho užijem
No tak vstavaj
daľšiu fľašu otvárajú
No tak vstávaj
prešvihneme zas kapelu
No tak vstavaj
krásny deň nás ešte čaká
No tak vstávaj
pod som mnou hneď na panáka"
